#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
HSA-162582	Signal Transduction	25	2540	0.56	0.74	1.10e-07	9606.ENSP00000217086,9606.ENSP00000257118,9606.ENSP00000262241,9606.ENSP00000269397,9606.ENSP00000278823,9606.ENSP00000302967,9606.ENSP00000311816,9606.ENSP00000318094,9606.ENSP00000333633,9606.ENSP00000338186,9606.ENSP00000357644,9606.ENSP00000358904,9606.ENSP00000362592,9606.ENSP00000362649,9606.ENSP00000369424,9606.ENSP00000369716,9606.ENSP00000378402,9606.ENSP00000383042,9606.ENSP00000384490,9606.ENSP00000384899,9606.ENSP00000385823,9606.ENSP00000412302,9606.ENSP00000430432,9606.ENSP00000437659,9606.ENSP00000440542	SALL4,PHC2,RCOR1,CBX4,MTA2,HDAC3,REST,SCMH1,MTA1,EED,GATAD2B,ZNF512B,RBBP4,HDAC1,RBBP7,CHD3,SIN3A,KDM1A,CBX6,GATAD2A,MTA3,MBD3,HDAC2,PHC1,CHD4
HSA-9701898	STAT3 nuclear events downstream of ALK signaling	4	10	2.17	1.85	3.34e-06	9606.ENSP00000302967,9606.ENSP00000362649,9606.ENSP00000378402,9606.ENSP00000430432	HDAC3,HDAC1,SIN3A,HDAC2
HSA-8939243	RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known	5	37	1.7	1.63	6.26e-06	9606.ENSP00000257118,9606.ENSP00000269397,9606.ENSP00000318094,9606.ENSP00000384490,9606.ENSP00000437659	PHC2,CBX4,SCMH1,CBX6,PHC1
HSA-8878171	Transcriptional regulation by RUNX1	8	206	1.16	1.27	6.52e-06	9606.ENSP00000257118,9606.ENSP00000269397,9606.ENSP00000318094,9606.ENSP00000362649,9606.ENSP00000369131,9606.ENSP00000378402,9606.ENSP00000384490,9606.ENSP00000437659	PHC2,CBX4,SCMH1,HDAC1,SIN3B,SIN3A,CBX6,PHC1
HSA-3899300	SUMOylation of transcription cofactors	5	43	1.64	1.53	1.17e-05	9606.ENSP00000257118,9606.ENSP00000269397,9606.ENSP00000318094,9606.ENSP00000378402,9606.ENSP00000437659	PHC2,CBX4,SCMH1,SIN3A,PHC1
HSA-4655427	SUMOylation of DNA methylation proteins	4	16	1.97	1.61	1.37e-05	9606.ENSP00000257118,9606.ENSP00000269397,9606.ENSP00000318094,9606.ENSP00000437659	PHC2,CBX4,SCMH1,PHC1
HSA-193670	p75NTR negatively regulates cell cycle via SC1	3	6	2.27	1.39	9.10e-05	9606.ENSP00000302967,9606.ENSP00000362649,9606.ENSP00000430432	HDAC3,HDAC1,HDAC2
HSA-9022692	Regulation of MECP2 expression and activity	4	31	1.68	1.25	0.00013	9606.ENSP00000302967,9606.ENSP00000362649,9606.ENSP00000378402,9606.ENSP00000430432	HDAC3,HDAC1,SIN3A,HDAC2
HSA-8953750	Transcriptional Regulation by E2F6	4	34	1.64	1.2	0.00018	9606.ENSP00000338186,9606.ENSP00000362592,9606.ENSP00000369424,9606.ENSP00000437659	EED,RBBP4,RBBP7,PHC1
HSA-2262752	Cellular responses to stress	11	747	0.74	0.71	0.00024	9606.ENSP00000257118,9606.ENSP00000269397,9606.ENSP00000302967,9606.ENSP00000318094,9606.ENSP00000338186,9606.ENSP00000362592,9606.ENSP00000369131,9606.ENSP00000369424,9606.ENSP00000378402,9606.ENSP00000384490,9606.ENSP00000437659	PHC2,CBX4,HDAC3,SCMH1,EED,RBBP4,SIN3B,RBBP7,SIN3A,CBX6,PHC1
HSA-983231	Factors involved in megakaryocyte development and platelet production	6	155	1.16	0.98	0.00024	9606.ENSP00000262241,9606.ENSP00000328269,9606.ENSP00000362649,9606.ENSP00000378402,9606.ENSP00000383042,9606.ENSP00000430432	RCOR1,HMG20B,HDAC1,SIN3A,KDM1A,HDAC2
HSA-5617472	Activation of anterior HOX genes in hindbrain development during early embryogenesis	5	91	1.31	1.03	0.00030	9606.ENSP00000302967,9606.ENSP00000338186,9606.ENSP00000362592,9606.ENSP00000367203,9606.ENSP00000369424	HDAC3,EED,RBBP4,KDM6A,RBBP7
HSA-9005891	Loss of function of MECP2 in Rett syndrome	3	12	1.97	1.15	0.00040	9606.ENSP00000302967,9606.ENSP00000362649,9606.ENSP00000378402	HDAC3,HDAC1,SIN3A
HSA-9609690	HCMV Early Events	5	102	1.26	0.96	0.00045	9606.ENSP00000302967,9606.ENSP00000338186,9606.ENSP00000355656,9606.ENSP00000362592,9606.ENSP00000369424	HDAC3,EED,H2AW,RBBP4,RBBP7
HSA-4570464	SUMOylation of RNA binding proteins	4	47	1.5	1.04	0.00047	9606.ENSP00000257118,9606.ENSP00000269397,9606.ENSP00000318094,9606.ENSP00000437659	PHC2,CBX4,SCMH1,PHC1
HSA-9022699	MECP2 regulates neuronal receptors and channels	3	16	1.84	1.04	0.00075	9606.ENSP00000362649,9606.ENSP00000378402,9606.ENSP00000430432	HDAC1,SIN3A,HDAC2
HSA-3108214	SUMOylation of DNA damage response and repair proteins	4	75	1.3	0.79	0.0025	9606.ENSP00000257118,9606.ENSP00000269397,9606.ENSP00000318094,9606.ENSP00000437659	PHC2,CBX4,SCMH1,PHC1
HSA-9022538	Loss of MECP2 binding ability to 5mC-DNA	2	3	2.39	0.88	0.0029	9606.ENSP00000362649,9606.ENSP00000378402	HDAC1,SIN3A
HSA-350054	Notch-HLH transcription pathway	3	28	1.6	0.82	0.0031	9606.ENSP00000302967,9606.ENSP00000362649,9606.ENSP00000430432	HDAC3,HDAC1,HDAC2
HSA-9615017	FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes	3	30	1.57	0.79	0.0037	9606.ENSP00000362649,9606.ENSP00000378402,9606.ENSP00000430432	HDAC1,SIN3A,HDAC2
HSA-212300	PRC2 methylates histones and DNA	3	42	1.42	0.66	0.0092	9606.ENSP00000338186,9606.ENSP00000362592,9606.ENSP00000369424	EED,RBBP4,RBBP7
HSA-9710421	Defective pyroptosis	3	42	1.42	0.66	0.0092	9606.ENSP00000338186,9606.ENSP00000362592,9606.ENSP00000369424	EED,RBBP4,RBBP7
HSA-597592	Post-translational protein modification	12	1405	0.5	0.39	0.0112	9606.ENSP00000257118,9606.ENSP00000269397,9606.ENSP00000318094,9606.ENSP00000333633,9606.ENSP00000355656,9606.ENSP00000362649,9606.ENSP00000369424,9606.ENSP00000369716,9606.ENSP00000378402,9606.ENSP00000430432,9606.ENSP00000437659,9606.ENSP00000443988	PHC2,CBX4,SCMH1,MTA1,H2AW,HDAC1,RBBP7,CHD3,SIN3A,HDAC2,PHC1,SUDS3
HSA-9022702	MECP2 regulates transcription of neuronal ligands	2	8	1.97	0.67	0.0115	9606.ENSP00000362649,9606.ENSP00000378402	HDAC1,SIN3A
HSA-3214841	PKMTs methylate histone lysines	3	47	1.38	0.62	0.0119	9606.ENSP00000338186,9606.ENSP00000362592,9606.ENSP00000369424	EED,RBBP4,RBBP7
HSA-2122947	NOTCH1 Intracellular Domain Regulates Transcription	3	48	1.37	0.61	0.0124	9606.ENSP00000302967,9606.ENSP00000362649,9606.ENSP00000430432	HDAC3,HDAC1,HDAC2
HSA-392499	Metabolism of proteins	14	1917	0.43	0.35	0.0150	9606.ENSP00000257118,9606.ENSP00000269397,9606.ENSP00000302967,9606.ENSP00000318094,9606.ENSP00000333633,9606.ENSP00000333920,9606.ENSP00000355656,9606.ENSP00000362649,9606.ENSP00000369424,9606.ENSP00000369716,9606.ENSP00000378402,9606.ENSP00000430432,9606.ENSP00000437659,9606.ENSP00000443988	PHC2,CBX4,HDAC3,SCMH1,MTA1,TTF1,H2AW,HDAC1,RBBP7,CHD3,SIN3A,HDAC2,PHC1,SUDS3
HSA-2644606	Constitutive Signaling by NOTCH1 PEST Domain Mutants	3	58	1.28	0.54	0.0203	9606.ENSP00000302967,9606.ENSP00000362649,9606.ENSP00000430432	HDAC3,HDAC1,HDAC2
HSA-2894862	Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants	3	58	1.28	0.54	0.0203	9606.ENSP00000302967,9606.ENSP00000362649,9606.ENSP00000430432	HDAC3,HDAC1,HDAC2
HSA-9707564	Cytoprotection by HMOX1	3	63	1.25	0.51	0.0238	9606.ENSP00000302967,9606.ENSP00000369131,9606.ENSP00000378402	HDAC3,SIN3B,SIN3A
HSA-8936459	RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function	3	66	1.23	0.5	0.0264	9606.ENSP00000362649,9606.ENSP00000369131,9606.ENSP00000378402	HDAC1,SIN3B,SIN3A
HSA-1362300	Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1	2	16	1.67	0.51	0.0324	9606.ENSP00000362592,9606.ENSP00000362649	RBBP4,HDAC1
HSA-1362277	Transcription of E2F targets under negative control by DREAM complex	2	19	1.59	0.46	0.0426	9606.ENSP00000362592,9606.ENSP00000362649	RBBP4,HDAC1
