#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
hsa04066	HIF-1 signaling pathway	6	102	1.24	1.32	7.22e-06	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000366563,9606.ENSP00000428056,9606.ENSP00000482457,9606.ENSP00000501150	PIK3R2,PIK3R3,PIK3CD,PIK3R1,PLCG2,PIK3CB
hsa04931	Insulin resistance	6	106	1.23	1.29	8.81e-06	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000366563,9606.ENSP00000394560,9606.ENSP00000428056,9606.ENSP00000501150	PIK3R2,PIK3R3,PIK3CD,MAPK9,PIK3R1,PIK3CB
hsa04668	TNF signaling pathway	6	111	1.21	1.25	1.12e-05	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000366563,9606.ENSP00000394560,9606.ENSP00000428056,9606.ENSP00000501150	PIK3R2,PIK3R3,PIK3CD,MAPK9,PIK3R1,PIK3CB
hsa04213	Longevity regulating pathway - multiple species	5	61	1.39	1.36	1.17e-05	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000366563,9606.ENSP00000428056,9606.ENSP00000501150	PIK3R2,PIK3R3,PIK3CD,PIK3R1,PIK3CB
hsa04929	GnRH secretion	5	63	1.37	1.34	1.34e-05	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000366563,9606.ENSP00000428056,9606.ENSP00000501150	PIK3R2,PIK3R3,PIK3CD,PIK3R1,PIK3CB
hsa05020	Prion disease	8	263	0.96	1.04	1.37e-05	9606.ENSP00000222254,9606.ENSP00000249071,9606.ENSP00000262741,9606.ENSP00000346671,9606.ENSP00000366563,9606.ENSP00000394560,9606.ENSP00000428056,9606.ENSP00000501150	PIK3R2,RAC2,PIK3R3,FYN,PIK3CD,MAPK9,PIK3R1,PIK3CB
hsa05221	Acute myeloid leukemia	5	67	1.35	1.3	1.74e-05	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000366563,9606.ENSP00000428056,9606.ENSP00000501150	PIK3R2,PIK3R3,PIK3CD,PIK3R1,PIK3CB
hsa05169	Epstein-Barr virus infection	7	192	1.04	1.09	1.82e-05	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000366563,9606.ENSP00000394560,9606.ENSP00000428056,9606.ENSP00000482457,9606.ENSP00000501150	PIK3R2,PIK3R3,PIK3CD,MAPK9,PIK3R1,PLCG2,PIK3CB
hsa01524	Platinum drug resistance	5	70	1.33	1.27	2.08e-05	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000366563,9606.ENSP00000428056,9606.ENSP00000501150	PIK3R2,PIK3R3,PIK3CD,PIK3R1,PIK3CB
hsa04068	FoxO signaling pathway	6	126	1.15	1.17	2.08e-05	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000366563,9606.ENSP00000394560,9606.ENSP00000428056,9606.ENSP00000501150	PIK3R2,PIK3R3,PIK3CD,MAPK9,PIK3R1,PIK3CB
