gene_id	ranks.Parkin
ENSG00000225073	76.8151309996587
ENSG00000227587	50.8363407825693
ENSG00000186960	38.4847428157117
ENSG00000162624	32.5607976879657
ENSG00000185904	28.2986326840605
ENSG00000263711	27.7487147739483
ENSG00000257126	26.6771136306198
ENSG00000176165	24.2711779458001
ENSG00000230202	23.1549170136153
ENSG00000261213	22.9134121124937
ENSG00000164900	22.7706071731216
ENSG00000257748	21.8713085750492
ENSG00000166407	21.8711697588393
ENSG00000224149	20.7435078841605
ENSG00000253873	20.6283973511841
ENSG00000296808	20.4319256858629
ENSG00000251129	20.0761299005593
ENSG00000230453	18.3642359470469
ENSG00000213058	18.2850122883575
ENSG00000080031	17.3560796485892
ENSG00000257056	16.6111895776745
ENSG00000229676	16.5194346337412
ENSG00000224127	16.509457222905
ENSG00000204310	16.4687906531096
ENSG00000250131	16.4096555925695
ENSG00000122971	15.4966549984484
ENSG00000119630	15.4580203673868
ENSG00000104059	15.3048008486549
ENSG00000257522	14.9697146708711
ENSG00000214548	14.8561456045459
ENSG00000303412	14.5286444350002
ENSG00000280906	14.3722827265578
ENSG00000170889	14.3008442937366
ENSG00000198400	14.1310203199991
ENSG00000293141	13.8371069529721
ENSG00000106348	13.5710017206488
ENSG00000226007	13.3901925852249
ENSG00000277104	13.270240439166
ENSG00000224114	13.1303573053339
ENSG00000280061	13.1050204901914
ENSG00000272462	13.0829596487131
ENSG00000183311	12.653324034733
ENSG00000198300	12.5240876961595
ENSG00000166199	12.3312822558542
ENSG00000288423	12.2593700385964
ENSG00000236819	12.142488554806
ENSG00000126561	12.1008158778065
ENSG00000184302	12.0051044846887
ENSG00000168490	11.7094989118987
ENSG00000233841	11.4610756395541
ENSG00000109794	11.4073017019639
ENSG00000223752	11.2215681799041
ENSG00000222012	11.0539573640319
ENSG00000066382	10.8773972647973
ENSG00000233293	10.5340558379396
ENSG00000225746	10.5082756719615
ENSG00000164850	10.4612379791589
ENSG00000198039	10.1882993383068
ENSG00000176978	10.1858517034024
ENSG00000072182	10.1343324387214
ENSG00000167653	10.0232028170124
ENSG00000242828	10.0123891641322
ENSG00000187824	9.80497449067408
ENSG00000188677	9.73886005664248
ENSG00000278839	9.66715451997907
ENSG00000223403	9.61520567476736
ENSG00000162039	9.60058692530099
ENSG00000298556	9.56313242519384
ENSG00000160321	9.54583556179931
ENSG00000149489	9.53530778169531
ENSG00000275428	9.46814204090464
ENSG00000290588	9.46597181737584
ENSG00000299689	9.40305496307986
ENSG00000149292	9.38131058504018
ENSG00000120093	9.36594909835169
ENSG00000103222	9.34721764161596
ENSG00000189157	9.11546224233054
ENSG00000139946	9.07704110183863
ENSG00000170542	8.98794434210948
ENSG00000168505	8.97492264959905
ENSG00000181804	8.90657958020907
ENSG00000280811	8.82122040370311
ENSG00000206190	8.77031565904373
ENSG00000291171	8.71629831174081
ENSG00000231247	8.65297914230248
ENSG00000184937	8.62221406150596
ENSG00000121900	8.53695569365847
ENSG00000182742	8.52332823783276
ENSG00000226562	8.50284058858117
ENSG00000147724	8.50184398650295
ENSG00000136327	8.50008699246329
ENSG00000133943	8.40453380087798
ENSG00000178802	8.35659398284747
ENSG00000266074	8.35632139019497
ENSG00000267309	8.3279504670062
ENSG00000105516	8.31178253561543
ENSG00000289119	8.27010688612217
ENSG00000137764	8.24074651697625
