gene_id	ranks.lrrk2
ENSG00000162624	153.486029107941
ENSG00000274320	76.2139133011021
ENSG00000183311	69.6608894166928
ENSG00000261213	66.8948046304544
ENSG00000224149	66.4168829999733
ENSG00000164900	65.3942442750066
ENSG00000153234	61.8689106839483
ENSG00000280989	57.797799514806
ENSG00000184459	51.9797276638556
ENSG00000224127	50.9139412996116
ENSG00000186960	50.1464390640742
ENSG00000303412	47.3970963555487
ENSG00000280641	42.1179617087975
ENSG00000144119	41.8640820451677
ENSG00000257126	40.3904887822285
ENSG00000180613	39.5568764849303
ENSG00000154229	39.5533503345545
ENSG00000185760	39.3614329972657
ENSG00000111913	38.5338783937492
ENSG00000147041	37.9980743999137
ENSG00000188818	37.5535589793226
ENSG00000204103	36.4320653622396
ENSG00000175262	35.1034247115419
ENSG00000206486	33.0912461178849
ENSG00000179399	32.7718835869691
ENSG00000257748	32.4575727026572
ENSG00000280811	32.0045037778415
ENSG00000185736	31.6060531526258
ENSG00000161328	31.3145429674716
ENSG00000225748	31.0406589993884
ENSG00000287830	30.884865143725
ENSG00000166167	30.6069324080056
ENSG00000112038	28.7329972663075
ENSG00000176845	28.6319555058173
ENSG00000275211	28.2203198282441
ENSG00000135750	26.4082946469376
ENSG00000307802	25.7867629234798
ENSG00000215506	25.6941006804994
ENSG00000105617	25.3632082165514
ENSG00000206478	25.2814799816184
ENSG00000197442	25.1282074468305
ENSG00000257056	25.1068124336455
ENSG00000159450	24.5097937826098
ENSG00000185352	24.490799688475
ENSG00000206457	24.2601250837048
ENSG00000118432	24.0629636473555
ENSG00000233087	23.9324563228691
ENSG00000279910	23.5246225493734
ENSG00000160321	23.3101920773322
ENSG00000150594	22.8838770156988
ENSG00000161021	22.2856793692144
ENSG00000174473	22.0408939710256
ENSG00000147364	21.9921887591382
ENSG00000184611	21.9385792649886
ENSG00000144597	21.9059804807492
ENSG00000224223	21.8486082329566
ENSG00000127152	21.6717605797661
ENSG00000170419	20.5051381657819
ENSG00000256982	20.0053831936748
ENSG00000291400	19.8881091051381
ENSG00000129993	19.8620481139432
ENSG00000166407	19.450010237107
ENSG00000268654	19.4084452725524
ENSG00000144647	19.4012293363376
ENSG00000125826	19.3825071005583
ENSG00000233841	19.1396758058295
ENSG00000274070	19.0099847673401
ENSG00000154478	19.0046285272684
ENSG00000158458	18.8323533360476
ENSG00000197134	18.5963096605397
ENSG00000078018	18.1696695077066
ENSG00000118257	18.0880123742737
ENSG00000070182	18.0866525558842
ENSG00000033122	18.0545542943032
ENSG00000132604	18.0526956265773
ENSG00000133612	17.9231683903542
ENSG00000022355	17.7824459912686
ENSG00000140995	17.5052285460407
ENSG00000176715	17.5037930473037
ENSG00000144893	17.4665697885103
ENSG00000144278	17.3295279704919
ENSG00000143786	17.3222299742177
ENSG00000259417	17.2748822068964
ENSG00000213640	17.2698650474258
ENSG00000138604	17.1435050436718
ENSG00000119446	17.1126848712973
ENSG00000149781	17.0451616368378
ENSG00000105516	16.9244954339676
ENSG00000136738	16.7128998574831
ENSG00000281518	16.5516428358809
ENSG00000198040	16.546765566818
ENSG00000127022	16.5227364614686
ENSG00000257522	16.5026324612302
ENSG00000175906	16.4632287891454
ENSG00000110446	16.4484973877753
ENSG00000168924	16.2651584342554
ENSG00000278088	16.2340972984424
ENSG00000122025	16.1609877399341
ENSG00000081189	16.1600255172076
ENSG00000231754	16.065603994077
ENSG00000287783	15.9837693792781
ENSG00000168505	15.9202649149544
ENSG00000141750	15.8239423797728
ENSG00000188171	15.8020603371224
ENSG00000249362	15.742126159784
ENSG00000145864	15.6346727020373
ENSG00000176165	15.6259670523949
ENSG00000303233	15.5747625618645
ENSG00000174576	15.2539416969053
ENSG00000113749	15.2376526388679
ENSG00000188766	15.1096643810263
ENSG00000185634	15.0444374082335
ENSG00000174996	14.9712275438912
ENSG00000131831	14.8213533728217
ENSG00000237515	14.8038707224079
ENSG00000196700	14.6847001856879
ENSG00000136997	14.6594214858989
ENSG00000157837	14.6239521665477
ENSG00000188916	14.4781022382539
ENSG00000122877	14.2299431812302
ENSG00000164270	14.2027871886512
ENSG00000162367	14.05000908785
ENSG00000224116	14.0291508571097
ENSG00000101298	14.016339547015
ENSG00000147724	13.9553566523491
ENSG00000205696	13.9501047054139
ENSG00000274414	13.948645616677
ENSG00000275793	13.8436800357788
ENSG00000235272	13.792297942994
ENSG00000236819	13.7137143921457
ENSG00000092931	13.6455091400754
ENSG00000163285	13.5116531351397
ENSG00000168952	13.2906001602365
ENSG00000171617	13.2903556787199
ENSG00000293898	13.2150234393064
ENSG00000141965	13.203165109262
ENSG00000166501	13.1742995483372
ENSG00000178343	13.1528459300052
ENSG00000188674	13.1427841785217
ENSG00000109452	13.0742387599061
ENSG00000006432	13.0296971331512
ENSG00000071051	13.0296321460915
ENSG00000178695	13.0143643092325
ENSG00000186197	12.9951307255719
ENSG00000143127	12.8881330688096
ENSG00000178718	12.8789207582416
ENSG00000137727	12.8427652550113
ENSG00000179935	12.8114999359547
ENSG00000309543	12.6330581701776
ENSG00000136928	12.4499692001025
ENSG00000007545	12.4454150974067
ENSG00000303631	12.4421719876281
ENSG00000148483	12.4387346533739
ENSG00000188517	12.3695781172225
ENSG00000172318	12.344893569405
ENSG00000181852	12.3287300135753
ENSG00000145191	12.2108866270012
ENSG00000144339	12.0847370347425
ENSG00000103257	12.0654700620739
ENSG00000151834	12.0329797792046
ENSG00000086619	11.7990025720697
ENSG00000104059	11.7351932075822
ENSG00000302030	11.7037358798577
ENSG00000205853	11.6709281509441
ENSG00000134262	11.6258517101126
ENSG00000227906	11.5763894313864
ENSG00000078804	11.5086882756384
ENSG00000290671	11.4886718554024
ENSG00000101977	11.4830984798617
ENSG00000076641	11.4573925072676
ENSG00000306820	11.431656368971
ENSG00000186575	11.4087833862294
ENSG00000214578	11.3880516936032
ENSG00000149972	11.324335774639
ENSG00000101347	11.2823606063806
ENSG00000149488	11.2531439665457
ENSG00000128965	11.2191789205783
ENSG00000225807	11.2131520962421
ENSG00000147174	11.1153246572125
ENSG00000093167	11.0980268101983
ENSG00000237917	11.0542723400612
ENSG00000015475	11.0496334871153
ENSG00000257800	11.035376364215
ENSG00000076685	11.0111109414729
ENSG00000115762	11.0055853608135
ENSG00000180611	10.7963948166309
ENSG00000170456	10.7917246060185
ENSG00000120616	10.7764478434982
ENSG00000107485	10.7118109372099
ENSG00000136158	10.6745404969228
ENSG00000132612	10.6174182529358
ENSG00000159082	10.5543508106452
ENSG00000106608	10.5233602584536
ENSG00000106852	10.4725366051085
ENSG00000168743	10.3949668328003
ENSG00000220201	10.3662606886404
ENSG00000197013	10.3507867789019
ENSG00000171877	10.3271763537003
ENSG00000075391	10.3097405300286
ENSG00000213965	10.3059206736939
ENSG00000078081	10.2715304218226
ENSG00000152578	10.2277706173034
ENSG00000168453	10.2023553119314
ENSG00000170837	10.1417607846944
ENSG00000284642	10.1321543636298
ENSG00000167210	10.0859260512204
ENSG00000162076	10.0756118995786
ENSG00000184271	10.069717598286
ENSG00000106948	10.0560565986834
ENSG00000284260	10.0331274286178
ENSG00000008086	10.0159358994429
ENSG00000138650	10.012433448025
ENSG00000110925	10.0094251171582
ENSG00000105248	10.005291277996
ENSG00000162998	9.97503787416104
ENSG00000185774	9.95480640093762
ENSG00000173581	9.94858505780246
ENSG00000197062	9.93035427493618
ENSG00000185838	9.92142592436017
ENSG00000090372	9.86128340676527
ENSG00000172273	9.86049454839917
ENSG00000203880	9.85052916825354
ENSG00000121904	9.83013192501739
ENSG00000278558	9.79135436529441
ENSG00000177675	9.67596066212758
ENSG00000087095	9.62980381814879
ENSG00000238243	9.61794357673901
ENSG00000102606	9.60866291403381
ENSG00000196268	9.59446014255598
ENSG00000196639	9.57265154012302
ENSG00000165966	9.51871392933227
ENSG00000068354	9.51793029370439
ENSG00000141098	9.48016532089447
ENSG00000160445	9.45568604958457
ENSG00000050767	9.44236659732243
ENSG00000299466	9.42452378147864
ENSG00000121898	9.42390969643371
ENSG00000163788	9.38639375549404
ENSG00000154144	9.33797750160618
ENSG00000081181	9.33037520430007
ENSG00000267309	9.29976337036112
ENSG00000119866	9.28686942198789
ENSG00000196628	9.27962059044127
ENSG00000162722	9.27617576352618
ENSG00000166199	9.24159314362288
ENSG00000294818	9.2241019089135
ENSG00000004478	9.21589922191244
ENSG00000275832	9.21250681088913
ENSG00000151229	9.2089939510063
