gene_id	ranks.B
ENSG00000204103	45.5981708847035
ENSG00000150594	40.340333903756
ENSG00000144647	37.1761743868018
ENSG00000136738	31.0014359501792
ENSG00000153234	29.8270935841285
ENSG00000147174	26.4812928090392
ENSG00000119446	24.427221976379
ENSG00000144597	24.055840207183
ENSG00000131831	23.2148508211957
ENSG00000181852	22.8400318801244
ENSG00000134262	21.4180235413193
ENSG00000170835	21.1800696542763
ENSG00000170345	19.1365029776883
ENSG00000071051	19.1226468728095
ENSG00000125826	18.899895264974
ENSG00000174576	18.5833657597899
ENSG00000078081	18.5121935446408
ENSG00000092931	17.9778909225269
ENSG00000183783	17.8748610673404
ENSG00000276537	17.5487722583047
ENSG00000152413	17.5230476355314
ENSG00000213965	17.3778691514963
ENSG00000076685	16.96197087024
ENSG00000279789	16.8411097702411
ENSG00000179399	16.5708082086026
ENSG00000157837	16.5187587005268
ENSG00000149781	16.3743775394269
ENSG00000279207	16.1922054720558
ENSG00000110925	16.1784625241204
ENSG00000185352	15.9834661562593
ENSG00000179698	15.7220071709854
ENSG00000188033	15.4361174031421
ENSG00000206562	15.2849813362061
ENSG00000181467	15.1192757773579
ENSG00000284260	15.1130586419418
ENSG00000138604	15.0171563262218
ENSG00000127993	14.8347962239623
ENSG00000181019	14.7811679441468
ENSG00000168924	14.718298194337
ENSG00000119771	14.7089350473648
ENSG00000143376	14.666658536051
ENSG00000174996	14.5432953368339
ENSG00000188171	14.4743156872214
ENSG00000119541	14.4648113970228
ENSG00000103257	14.453429417442
ENSG00000140961	14.3179433105791
ENSG00000185838	14.2965734459422
ENSG00000144278	14.24735876144
ENSG00000164080	14.1546654826375
ENSG00000205085	14.1524714341431
ENSG00000253305	14.1498908601062
ENSG00000120738	14.1088280301827
ENSG00000178695	14.091785126394
ENSG00000110906	13.9687470631127
ENSG00000142871	13.9265164721902
ENSG00000140044	13.7618542587631
ENSG00000188818	13.7201010227976
ENSG00000188916	13.718021631462
ENSG00000114648	13.6596316360969
ENSG00000022840	13.5444363641314
ENSG00000176407	13.4483867594369
ENSG00000245025	13.441930423723
ENSG00000078804	13.4191253741611
ENSG00000271344	13.4046913951278
ENSG00000118432	13.2930805020385
ENSG00000121406	13.2189420821734
ENSG00000146757	13.1439780767248
ENSG00000215114	13.1045374134253
ENSG00000220201	13.0229461399511
ENSG00000120694	13.0205551855106
ENSG00000160352	12.9666313700059
ENSG00000157005	12.9023819084828
ENSG00000004866	12.8588893339433
ENSG00000129993	12.8546473333684
ENSG00000081189	12.8487914968366
ENSG00000177606	12.8414430319435
ENSG00000128965	12.8238419884831
ENSG00000159459	12.7623823382143
ENSG00000213640	12.7048265361718
ENSG00000130544	12.6219276349938
ENSG00000132604	12.6196729406881
ENSG00000148331	12.6156095748767
ENSG00000168453	12.5812479884913
ENSG00000173110	12.5073788211513
ENSG00000187068	12.4911113065744
ENSG00000118620	12.4563098590505
ENSG00000084112	12.4533744191757
ENSG00000069956	12.4302442483159
ENSG00000111262	12.3647796599146
ENSG00000158220	12.3227499668154
ENSG00000127152	12.3180922390363
ENSG00000165030	12.3019868816615
ENSG00000198863	12.2812182124552
ENSG00000125675	12.2783634768259
ENSG00000100591	12.2183859416355
ENSG00000160613	12.099981226147
ENSG00000173011	12.0895777027772
ENSG00000176697	12.0884142867764
ENSG00000120616	12.0671467113905
ENSG00000086619	12.0143903957068
ENSG00000134318	11.9531218523461
ENSG00000138650	11.9386366013626
ENSG00000235016	11.7701709164739
ENSG00000157350	11.7187832598305
ENSG00000147041	11.7130600784874
ENSG00000206501	11.7077120135813
ENSG00000173653	11.6810499231283
ENSG00000153037	11.5954889576894
ENSG00000288062	11.5528267461621
ENSG00000236814	11.5259687660596
ENSG00000131381	11.45685209404
ENSG00000127022	11.380329207506
ENSG00000291147	11.3510013501752
ENSG00000155906	11.3304591691622
ENSG00000135966	11.3291121861157
ENSG00000196730	11.3100301269682
ENSG00000188295	11.2809498369651
ENSG00000197818	11.2699274694593
ENSG00000129749	11.2234750781797
ENSG00000147364	11.1922796401455
ENSG00000077254	11.1865575207131
ENSG00000165209	11.1803663437211
ENSG00000184611	11.1637533052394
ENSG00000169180	11.1434571365542
ENSG00000204197	11.1322804309449
ENSG00000173065	11.0449265534399
ENSG00000151611	11.011127733686
ENSG00000175764	10.9628789353548
ENSG00000176204	10.9335020254324
ENSG00000146576	10.922853976309
ENSG00000100292	10.8999954637848
ENSG00000260236	10.896527708681
ENSG00000105229	10.875332016628
ENSG00000135900	10.8581341504103
ENSG00000188766	10.8580618437791
ENSG00000118515	10.8468894116347
ENSG00000173261	10.7476825490402
ENSG00000235272	10.694993543702
ENSG00000164116	10.681814660455
ENSG00000188566	10.6427171560951
ENSG00000306252	10.6226461965666
ENSG00000237515	10.620733245157
ENSG00000284747	10.6169987634383
ENSG00000133612	10.5881011965755
ENSG00000139372	10.5802811520682
ENSG00000152433	10.5758606954869
ENSG00000131023	10.5753947075843
ENSG00000007545	10.5745486455061
ENSG00000015475	10.5597119338581
ENSG00000198835	10.5401281136217
ENSG00000112658	10.5109658697179
ENSG00000005339	10.4935658774834
ENSG00000263002	10.4725244013739
ENSG00000137460	10.4663554268435
ENSG00000180611	10.4395666120363
ENSG00000151834	10.3855911596708
ENSG00000113407	10.3770242564921
ENSG00000164902	10.3637825737614
ENSG00000185736	10.3628063410876
ENSG00000300291	10.3612449661805
ENSG00000143786	10.3596152182171
ENSG00000152127	10.3336473315439
ENSG00000174469	10.3182268651805
ENSG00000225484	10.2681531992541
ENSG00000087074	10.2509383337975
ENSG00000260941	10.2209033216015
ENSG00000144057	10.2190914676319
ENSG00000093167	10.2154754806256
ENSG00000290890	10.2149823917347
ENSG00000104154	10.211484508463
ENSG00000171169	10.2093252886394
ENSG00000181472	10.1869629241151
ENSG00000198040	10.1464829981071
ENSG00000289092	10.1312893679668
ENSG00000004766	10.1046781957808
ENSG00000106608	10.1034333541491
ENSG00000124659	10.0845303393571
ENSG00000204519	10.0731857979376
ENSG00000003509	10.0351069807441
ENSG00000006432	10.0215824568946
ENSG00000278558	10.017994203328
ENSG00000181915	10.0165773174626
ENSG00000162981	9.98815076224974
ENSG00000105708	9.96552415149615
ENSG00000168439	9.96043262523238
ENSG00000183281	9.95752432590749
ENSG00000135334	9.94884449011245
ENSG00000149972	9.90500275940058
ENSG00000274184	9.89205086287391
ENSG00000159885	9.86018111142806
ENSG00000068354	9.84512808649073
ENSG00000196705	9.8389414045001
ENSG00000162076	9.82854055839761
ENSG00000172273	9.80235006267968
ENSG00000290545	9.77762480817012
ENSG00000117222	9.77022844056073
ENSG00000141965	9.76318831516662
ENSG00000106723	9.7547934934664
ENSG00000136114	9.7231786302115
ENSG00000171827	9.71660352672077
ENSG00000163376	9.70089787792996
ENSG00000100221	9.65659477538808
ENSG00000196628	9.64963055058111
ENSG00000008256	9.6454444406974
ENSG00000132002	9.63133639153286
ENSG00000031003	9.62677374871527
ENSG00000157106	9.61949865276415
ENSG00000143367	9.60226703196474
ENSG00000149346	9.56785687598327
ENSG00000125740	9.55587601403494
