gene_id	ranks
ENSG00000186960	48.8990036994128
ENSG00000162624	45.8744289539694
ENSG00000176165	37.4021895127434
ENSG00000257126	32.0109456442346
ENSG00000261213	29.9781541645947
ENSG00000164900	27.8345963604506
ENSG00000224149	25.5593052890269
ENSG00000257748	25.3978736412244
ENSG00000170889	23.2297587252925
ENSG00000224127	22.8497223154267
ENSG00000166407	21.9139432021323
ENSG00000104059	21.8517032536086
ENSG00000257056	20.6279237146984
ENSG00000303412	20.4987467548763
ENSG00000296808	20.4442406382568
ENSG00000225073	20.2923789668212
ENSG00000277104	17.6684546363678
ENSG00000257522	17.6107312874967
ENSG00000233841	17.262283473955
ENSG00000183311	16.1197338321818
ENSG00000293141	15.9064467963011
ENSG00000198300	15.5447734699952
ENSG00000066382	15.0694618145615
ENSG00000072182	14.1997207128988
ENSG00000280906	13.8107246892253
ENSG00000236819	13.6982745549251
ENSG00000226007	13.6042034355541
ENSG00000160321	13.596617989902
ENSG00000166199	13.3622464936766
ENSG00000197134	13.3574347304427
ENSG00000168505	13.2996881184303
ENSG00000227587	13.2440739805998
ENSG00000280811	13.2408677661145
ENSG00000161328	12.8511507339494
ENSG00000170542	12.8389740449773
ENSG00000263711	12.6506587476569
ENSG00000147724	12.4578982573371
ENSG00000229676	12.3905391006211
ENSG00000103222	12.289718204226
ENSG00000280989	11.9472369039695
ENSG00000105516	11.7140567866352
ENSG00000230202	11.68689703586
ENSG00000275211	11.6863917149415
ENSG00000106852	11.605574204079
ENSG00000267309	11.5830428268789
ENSG00000106348	11.5360951046519
ENSG00000174473	11.479581661013
ENSG00000185904	11.2201605536233
ENSG00000185736	11.1889343871099
ENSG00000268654	11.0290495243201
ENSG00000111186	10.8935086147398
ENSG00000298556	10.8219652488701
ENSG00000121900	10.7352908310496
ENSG00000119630	10.7243844902246
ENSG00000307802	10.6531941615199
ENSG00000050767	10.5081351705253
ENSG00000144119	10.5031689869807
ENSG00000164850	10.4034790510203
ENSG00000187824	10.3115259921939
ENSG00000198400	10.1714099207306
ENSG00000184937	10.1407511423583
ENSG00000184302	10.0156710509332
ENSG00000139946	9.71079168861543
ENSG00000167653	9.70503874170008
ENSG00000242353	9.69821494865323
ENSG00000185774	9.580293033715
ENSG00000185760	9.43045026920275
ENSG00000281518	9.36928622388707
ENSG00000233293	9.36131580769658
ENSG00000276449	9.24111678077394
ENSG00000151332	9.051145693587
ENSG00000180613	9.0276020996717
ENSG00000291093	8.9573818044805
ENSG00000189316	8.94728364282224
ENSG00000280061	8.94708572268653
ENSG00000176845	8.91202551627055
ENSG00000188677	8.85993356942551
ENSG00000140285	8.79255469300457
ENSG00000163285	8.73080362416636
ENSG00000115365	8.67777473253722
ENSG00000229415	8.59026508918247
ENSG00000278088	8.54016080865732
ENSG00000213058	8.40048983315064
ENSG00000145476	8.36605335397839
ENSG00000183090	8.31853267310236
ENSG00000126249	8.31178080637243
ENSG00000261754	8.28129704631306
ENSG00000034053	8.26091345665046
ENSG00000307001	8.24115723672163
ENSG00000178734	8.23279051491564
ENSG00000283098	8.18866182683283
ENSG00000214548	8.13399167144957
ENSG00000196268	8.0850123725686
ENSG00000225978	8.07164819214374
ENSG00000122971	8.05502323321513
ENSG00000128739	8.03256148907995
ENSG00000204310	7.98766921944569
ENSG00000165966	7.98760859022351
ENSG00000126561	7.93835511271458
ENSG00000176978	7.8911473294538
ENSG00000232903	7.8760126735371
ENSG00000299466	7.78164316136698
ENSG00000138769	7.7578330505312
ENSG00000224114	7.75329041994724
ENSG00000206478	7.60930156249195
ENSG00000125869	7.60745330986082
ENSG00000109794	7.60234185408759
ENSG00000105808	7.59713013085866
ENSG00000136848	7.57237485827051
ENSG00000178718	7.57004521391603
ENSG00000080031	7.54273301924104
ENSG00000144596	7.52156041588073
ENSG00000178343	7.50888605461437
ENSG00000230453	7.4531660694867
ENSG00000231754	7.43229996658045
ENSG00000099625	7.38515839956058
