#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
hsa05166	Human T-cell leukemia virus 1 infection	10	210	1.09	1.51	6.07e-08	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000263967,9606.ENSP00000265371,9606.ENSP00000366563,9606.ENSP00000382423,9606.ENSP00000394560,9606.ENSP00000410402,9606.ENSP00000428056,9606.ENSP00000501150	PIK3R2,PIK3R3,PIK3CA,NRP1,PIK3CD,MAP3K1,MAPK9,MAP2K4,PIK3R1,PIK3CB
hsa04151	PI3K-Akt signaling pathway	12	349	0.94	1.33	6.36e-08	9606.ENSP00000172229,9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000263967,9606.ENSP00000275493,9606.ENSP00000364898,9606.ENSP00000366563,9606.ENSP00000376345,9606.ENSP00000384675,9606.ENSP00000428056,9606.ENSP00000431418,9606.ENSP00000501150	NGFR,PIK3R2,PIK3R3,PIK3CA,EGFR,SYK,PIK3CD,GRB2,SOS1,PIK3R1,NTRK1,PIK3CB
hsa04931	Insulin resistance	8	106	1.29	1.73	6.36e-08	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000263967,9606.ENSP00000331602,9606.ENSP00000366563,9606.ENSP00000394560,9606.ENSP00000428056,9606.ENSP00000501150	PIK3R2,PIK3R3,PIK3CA,PRKCD,PIK3CD,MAPK9,PIK3R1,PIK3CB
hsa04960	Aldosterone-regulated sodium reabsorption	6	37	1.62	1.99	6.69e-08	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000263967,9606.ENSP00000366563,9606.ENSP00000428056,9606.ENSP00000501150	PIK3R2,PIK3R3,PIK3CA,PIK3CD,PIK3R1,PIK3CB
hsa04630	JAK-STAT signaling pathway	9	158	1.16	1.59	7.38e-08	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000263967,9606.ENSP00000275493,9606.ENSP00000366563,9606.ENSP00000376345,9606.ENSP00000384675,9606.ENSP00000428056,9606.ENSP00000501150	PIK3R2,PIK3R3,PIK3CA,EGFR,PIK3CD,GRB2,SOS1,PIK3R1,PIK3CB
hsa05218	Melanoma	7	72	1.4	1.79	9.99e-08	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000263967,9606.ENSP00000275493,9606.ENSP00000366563,9606.ENSP00000428056,9606.ENSP00000501150	PIK3R2,PIK3R3,PIK3CA,EGFR,PIK3CD,PIK3R1,PIK3CB
hsa04973	Carbohydrate digestion and absorption	6	44	1.54	1.85	1.64e-07	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000263967,9606.ENSP00000366563,9606.ENSP00000428056,9606.ENSP00000501150	PIK3R2,PIK3R3,PIK3CA,PIK3CD,PIK3R1,PIK3CB
hsa04210	Apoptosis	8	131	1.19	1.52	2.79e-07	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000263967,9606.ENSP00000366563,9606.ENSP00000394560,9606.ENSP00000428056,9606.ENSP00000431418,9606.ENSP00000501150	PIK3R2,PIK3R3,PIK3CA,PIK3CD,MAPK9,PIK3R1,NTRK1,PIK3CB
hsa05162	Measles	8	137	1.17	1.48	3.82e-07	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000263967,9606.ENSP00000366563,9606.ENSP00000394560,9606.ENSP00000428056,9606.ENSP00000499037,9606.ENSP00000501150	PIK3R2,PIK3R3,PIK3CA,PIK3CD,MAPK9,PIK3R1,CBLB,PIK3CB
hsa05020	Prion disease	10	263	0.99	1.28	4.15e-07	9606.ENSP00000222254,9606.ENSP00000249071,9606.ENSP00000262741,9606.ENSP00000263967,9606.ENSP00000331602,9606.ENSP00000346671,9606.ENSP00000366563,9606.ENSP00000394560,9606.ENSP00000428056,9606.ENSP00000501150	PIK3R2,RAC2,PIK3R3,PIK3CA,PRKCD,FYN,PIK3CD,MAPK9,PIK3R1,PIK3CB
